 code lot_size stock_name owner_market stock_child_type stock_type
99 US.SPNS 1 "Sapiens International Corp. NV"  0 STOCK
100 US.SYMC 1 赛门铁克  0 STOCK
101 US.SYRX 1 "Sysorex Global Holding Corp."  0 STOCK
102 US.TNGO 1 Tangoe  0 STOCK
103 US.TTWO 1 "Take-Two Interactive Software"  0 STOCK
104 US.TWOU 1 "2U, Inc."  0 STOCK
105 US.TYPE 1 蒙泰图像  0 STOCK
106 US.UEPS 1 "Net 1 U.E.P.S. Technologies, Inc."  0 STOCK
107 US.ULTI 1 "The Ultimate Software Group, Inc."  0 STOCK
108 US.UPIP 1 "Unwired Planet"  0 STOCK
109 US.UPLD 1 "Upland Software"  0 STOCK
110 US.USAT 1 全美科技  0 STOCK
111 US.VDSI 1 "VASCO Data Security International, Inc."  0 STOCK
112 US.VEEV 1 "Veeva Systems, Inc."  0 STOCK
113 US.VHC 1 "VirnetX Holding Corp."  0 STOCK
114 US.VMW 1 威睿  0 STOCK
115 US.VRNS 1 "Varonis Systems, Inc."  0 STOCK
116 US.WSTG 1 "Wayside Technology Group, Inc."  0 STOCK
117 US.XPLR 1 "Xplore Technologies Corp."  0 STOCK
118 US.ZIXI 1 "Zix Corp."  0 STOCK
