 code plate_name plate_id
270 SH.BK0283 足球 10000283
271 SH.BK0284 猪肉 10000284
272 SH.BK0285 双11 10000285
273 SH.BK0286 机器人概念 10000286
274 SH.BK0287 安防 10000287
275 SH.BK0288 虚拟现实 10000288
276 SH.BK0400 种植业 10000400
277 SH.BK0401 专业工程 10000401
278 SH.BK0402 专业零售 10000402
279 SH.BK0403 装修装饰 10000403
280 SH.BK0404 雄安概念股 10000404
281 SH.BK0501 安徽 10000501
282 SH.BK0502 北京 10000502
283 SH.BK0503 重庆 10000503
284 SH.BK0504 福建 10000504
285 SH.BK0505 甘肃 10000505
286 SH.BK0506 贵州 10000506
287 SH.BK0507 广西 10000507
288 SH.BK0508 广东 10000508
289 SH.BK0509 海南 10000509
290 SH.BK0510 湖南 10000510
291 SH.BK0511 湖北 10000511
292 SH.BK0512 河南 10000512
293 SH.BK0513 黑龙江 10000513
294 SH.BK0514 河北 10000514
295 SH.BK0515 江西 10000515
296 SH.BK0516 江苏 10000516
297 SH.BK0517 吉林 10000517
298 SH.BK0518 辽宁 10000518
299 SH.BK0519 宁夏 10000519
300 SH.BK0520 内蒙古 10000520
301 SH.BK0521 青海 10000521
302 SH.BK0522 陕西 10000522
303 SH.BK0523 四川 10000523
304 SH.BK0524 山东 10000524
305 SH.BK0525 上海 10000525
306 SH.BK0526 山西 10000526
307 SH.BK0527 天津 10000527
308 SH.BK0528 新疆 10000528
309 SH.BK0529 西藏 10000529
310 SH.BK0530 云南 10000530
311 SH.BK0531 浙江 10000531
312 SZ.BK0922 深股通 10000922
