 code name
115 US..DJUSNS 道琼斯美国互联网指数
116 US..DJUSOE 道琼斯美国电子办公设备指数
117 US..DJUSOG 道琼斯美国石油和天然气生产商指数
118 US..DJUSOI 道琼斯美国石油设备与服务指数
119 US..DJUSOL 道琼斯美国综合油气指数
120 US..DJUSOQ 道琼斯美国石油设备，服务与分销指数
121 US..DJUSOS 道琼斯美国勘探与生产指数
122 US..DJUSPB 道琼斯美国出版指数
123 US..DJUSPC 道琼斯美国废物处理服务指数
124 US..DJUSPG 道琼斯美国个人商品指数
125 US..DJUSPL 道琼斯美国管道指数
126 US..DJUSPM 道琼斯美国黄金矿业指数
127 US..DJUSPN 道琼斯美国制药与生物技术指数
128 US..DJUSPP 道琼斯美国纸业指数
129 US..DJUSPR 道琼斯美国医药指数
130 US..DJUSPT 道琼斯美国铂金与贵金属指数
131 US..DJUSRA 道琼斯美国服装零售商指数
132 US..DJUSRB "Dow Jones US Broadline Retailers Index"
133 US..DJUSRD 道琼斯美国药物零售商指数
134 US..DJUSRE "Dow Jones US Real Estate Index"
135 US..DJUSRH 道琼斯美国房地产投资与服务指数
136 US..DJUSRI 道琼斯美国房地产投资信托指数
137 US..DJUSRL "Dow Jones US Retail REITs Index"
138 US..DJUSRN "Dow Jones US Residential REITs Index"
139 US..DJUSRP 道琼斯美国娱乐产品指数
140 US..DJUSRQ 道琼斯美国娱乐服务指数
141 US..DJUSRR 道琼斯美国铁路指数
142 US..DJUSRS 道琼斯美国专业零售商指数
143 US..DJUSRT 道琼斯美国零售指数
144 US..DJUSRU 道琼斯美国餐馆和酒吧指数
145 US..DJUSS "Dow Jones US Small Cap Index"
146 US..DJUSSB 道琼斯美国投资服务公司
147 US..DJUSSC 道琼斯美国半导体指数
148 US..DJUSSD 道琼斯美国软饮料指数
149 US..DJUSSF 道琼斯美国消费者金融指数
150 US..DJUSSP 道琼斯美国专业金融指数
151 US..DJUSSR "Dow Jones US Specialty REITs Index"
152 US..DJUSST 道琼斯美国钢铁指数
153 US..DJUSSV 道琼斯美国软件与计算机服务指数
154 US..DJUSSW 道琼斯美国软件指数
155 US..DJUSTB 道琼斯美国烟草指数
156 US..DJUSTC 道琼斯美国高科技指数
157 US..DJUSTK 道琼斯美国卡车指数
158 US..DJUSTL 道琼斯美国电讯指数
159 US..DJUSTP "Dow Jones US Top Cap Index"
160 US..DJUSTQ 道琼斯美国技术五金设备指数
161 US..DJUSTR 道琼斯美轮胎指数
162 US..DJUSTS 道琼斯美国运输服务指数
163 US..DJUSTT 道琼斯美国旅游与旅游指数
164 US..DJUSTY 道琼斯美国玩具指数
165 US..DJUSUO "Dow Jones US Gas"
166 US..DJUSUT 道琼斯美国公用事业指数
167 US..DJUSVA 道琼斯美国价值指数
168 US..DJUSVE 道琼斯美国常规电力指数
169 US..DJUSVL "Dow Jones US Large-Cap Value Index"
170 US..DJUSVM "Dow Jones US Mid-Cap Value Index"
171 US..DJUSVN 道琼斯美国酿酒商与葡萄酒指数
172 US..DJUSVS "Dow Jones US Small-Cap Value Index"
173 US..DJUSWC 道琼斯美国移动通信指数
174 US..DJUSWU 道琼斯美国水资源指数
175 US..INX 标普500指数
176 US..NDX 纳斯达克100
177 US..SP100 标普100指数
178 US..SPCMI 标普完整指数
179 US..W5000FLT "Wilshire 5000 Total Market Index"
180 US..W5KLC "Wilshire US Large Cap"
181 US..W5KMC "Wilshire US Mid Cap"
182 US..W5KMICRO "Wilshire US Micro Cap"
183 US..W5KSC "Wilshire US Small Cap"
184 US..AEX 荷兰AEX指数
185 US..AS51 澳大利亚指数
186 US..ASE 希腊指数
187 US..ATX 奥地利指数
188 US..BEL20 比利时指数
189 US..CAC 法国指数
190 US..CASE 埃及指数
191 US..CSEALL 斯里兰卡指数
192 US..DAX 德国DAX指数
193 US..FBMKLC 马来西亚指数
194 US..FSSTI 新加坡指数
195 US..FTSEMIB 意大利指数
196 US..HEX 芬兰指数
197 US..IBEX 西班牙指数
198 US..IBOV 巴西指数
199 US..ICEXI 冰岛指数
200 US..INDEXCF 俄罗斯指数
201 US..ISEQ 爱尔兰指数
202 US..JCI 印尼综合指数
203 US..KFX 丹麦指数
204 US..kospi 韩国指数
205 US..KSE100 巴基斯坦指数
206 US..LUXXX 卢森堡指数
207 US..MEXBOL 墨西哥指数
208 US..NKY 日经225指数
209 US..NZSE50FG 新西兰指数
210 US..OBX 挪威指数
211 US..OMX 瑞典OMX指数
212 US..PCOMP 菲律宾指数
213 US..PX 捷克指数
214 US..SENSEX 印度孟买指数
215 US..SET 泰国指数
216 US..SMI 瑞士市场指数
217 US..SPTSX 加拿大指数
218 US..TWSE 台湾加权指数
219 US..UKX 英国指数
220 US..VNINDEX 越南指数
221 US..WIG 波兰指数
